"","Mean","SD","V3","Lower","Upper"
"a",0.0338540297,0.00788933066,0.0329742027,0.0197485666,0.0496412327
"beta[1]",-1.48190387,0.100090917,-1.4818257,-1.6806858,-1.28933343
"beta[2]",3.07558554,0.0703094629,3.07588201,2.93812955,3.21409755
"ro",-0.859493037,0.213330983,-0.95648341,-0.989999867,-0.312705658
"sigma1",0.259872925,0.00323072438,0.259863968,0.253470064,0.266153064
"sigma2",0.183910301,0.0022244936,0.183896338,0.179573721,0.188268442
