,Mean,SD,V3,Lower,Upper
rho[1],-0.051200325,0.020597625,-0.047049998,-0.091492102,-0.02061049
rho[2],0.16666378,0.065318189,0.153106296,0.069050267,0.295997265
rho[3],0.018734648,0.010187507,0.017718599,0.001269202,0.040201837
theta[1],25.4192409,0.625902472,25.4049372,24.2258838,26.6745385
theta[2],0.266768423,0.107636948,0.255074492,0.074431328,0.477658219
theta[3],-0.503629605,0.173855731,-0.502807978,-0.848125983,-0.163863283
