"","Mean","SD","V3","Lower","Upper"
"a1",0.0358736633,0.0052286009,0.0354946108,0.0261032775,0.0462877904
"beta[1]",-1.44978263,0.0629044418,-1.44983758,-1.57246817,-1.32618169
"beta[2]",3.04979965,0.044461237,3.0498951,2.96229369,3.13652608
"ro",-0.949158661,0.0708405856,-0.975911696,-0.998431751,-0.801758577
"sigma1",0.259662337,0.00322197847,0.259645515,0.253336363,0.265946384
"sigma2",0.18383398,0.00222026787,0.183823647,0.17951649,0.188229821
