"","Mean","SD","V3","Lower","Upper"
"a1",0.03426692,0.00548324437,0.0338368824,0.0240191269,0.0450953838
"beta[1]",-1.47061216,0.0690289987,-1.47060966,-1.60598234,-1.33655259
"beta[2]",3.05000968,0.0488146546,3.04984519,2.95235322,3.14300459
"ro",-0.925117232,0.109048507,-0.975740028,-0.999931245,-0.685349565
"sigma1",0.259654837,0.00322987912,0.259645361,0.253340492,0.265948425
"sigma2",0.183883609,0.00222898069,0.183876636,0.179547496,0.18827525
