"","Mean","SD","V3","Lower","Upper"
"a1",0.0360882701,0.00503494421,0.0357277214,0.0267682254,0.0462773064
"beta[1]",-1.44682108,0.0603124096,-1.44699468,-1.56642612,-1.32957774
"beta[2]",3.04773333,0.0426303057,3.04775177,2.96440101,3.13184351
"ro",-0.972759071,0.0399062075,-0.985761969,-0.998422449,-0.9045615
"sigma1",0.259623263,0.00323780105,0.25961919,0.253316552,0.265980644
"sigma2",0.183831397,0.00221847394,0.183819066,0.179559174,0.188250419
