year,a,b,score
2006,3.95E-02,3.007,0.949
2006,4.61E-02,2.9462,0.9923
2006-2007,4.32E-02,2.972,0.973
2008,5.29E-02,2.9451,0.9869
2008,0.041943594,3.0308,0.9557
2014-2015,0.040298239,3.012,0.935
